央视频道,#genre#
CCTV-1 综合,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv1gq-h264.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8#http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv2gq-h264.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?

CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://183.196.25.171:808/hls/2/index.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv2HD#https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8

CCTV-3 综艺,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8#http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8#http://125.210.152.19:9090/live/hzgq-cctv3gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://183.196.25.171:808/hls/75/index.m3u8

CCTV-4 中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8#http://210.210.155.37/qwr9ew/s/s19/index.m3u8#

CCTV-4K 超高清,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K

CCTV-5 体育,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://1.85.0.62:808/hls/503/index.m3u8#http://1.85.0.62:808/hls/503/index.m3u8#http://183.196.25.171:808/hls/78/index.m3u8#http://220.178.228.153:1935/live/cctv5/playlist.m3u8#http://223.95.111.98:5555/newlive/live/hls/5/live.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv5HD#https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8

CCTV-5+ 体育赛事,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?

CCTV-6 电影,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8#http://1.85.0.62:808/hls/6/index.m3u8#http://183.196.25.171:808/hls/76/index.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv6HD

CCTV-7 国防军事,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8

CCTV-8 电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8

CCTV-9 纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8#http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8

CCTV-10 科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8#http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8

CCTV-11 戏曲,http://183.196.25.171:808/hls/11/index.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv11HD

